tie_line,phase1_x_2-phenylethanol,phase1_x_thymol,phase1_x_geraniol,phase1_x_water4C_aparicio2007,phase1_w_2-phenylethanol,phase1_w_thymol,phase1_w_geraniol,phase1_w_water4C_aparicio2007,phase2_x_2-phenylethanol,phase2_x_thymol,phase2_x_geraniol,phase2_x_water4C_aparicio2007,phase2_w_2-phenylethanol,phase2_w_thymol,phase2_w_geraniol,phase2_w_water4C_aparicio2007
357,0.0011174622829348264,0.000197440420851246,3.895492569588288e-05,0.9986461423705181,0.0075175256020764665,0.001633340925186744,0.00033090289842702337,0.9905182305743098,0.26025357203695954,0.2386539085705647,0.23867080056811094,0.2624217188243649,0.29118183307598267,0.328348367782368,0.3371809385757423,0.043288860565906986
358,0.0010848105224393534,0.00020024503356909435,3.944863390611982e-05,0.9986754958100855,0.007299057617675318,0.0016568126050819892,0.0003351513860428146,0.9907089783911999,0.2529772281771011,0.24249988350094864,0.24251202384047219,0.2620108644814781,0.2823323299187855,0.33280469945834007,0.3417500658778517,0.043112904745022815
359,0.0010540182367790754,0.0002028884592580279,3.991276322030837e-05,0.9987031805407426,0.00709296591891192,0.001678942511051574,0.00033914677549170294,0.9908889447945447,0.24609549959358462,0.24613474726226392,0.24614226246886323,0.2616274906752881,0.27400516735587793,0.3369975496512325,0.3460488562826966,0.04294842671019296
360,0.0010249304793723906,0.0002053842411888922,4.034990560178424e-05,0.9987293353738369,0.006898224417462441,0.0016998428077670106,0.0003429111307257527,0.9910590216440448,0.23957724453721155,0.24957539421231828,0.24957841152334026,0.2612689497271299,0.2661554043855325,0.3409496294974781,0.3501006268758455,0.04279433924114381
361,0.0031041514198513775,2.4186869706303874e-05,5.314150821022364e-06,0.9968663475596212,0.020678300321430313,0.00019813004551332656,4.469942795509861e-05,0.9790788702051013,0.6521364356582066,0.025232363092154944,0.025262136562364076,0.29736906468727453,0.8593108945383949,0.04088542452926073,0.04203180877824095,0.05777187215410339
362,0.0028740159606845893,4.4480875680845145e-05,9.63542611924841e-06,0.9970718677375153,0.019166885125151946,0.0003647828620088158,8.113896035613727e-05,0.9803871930524831,0.6129604005540391,0.04740169343005145,0.047451198683573365,0.29218670733233604,0.791687251057453,0.07528593070745117,0.07738638672482812,0.055640431510267645
363,0.0026771425134774736,6.180285412811808e-05,1.3231137135349106e-05,0.997247823495259,0.017871223462540935,0.00050732943415927,0.00011152599688387017,0.9815099211064159,0.5779268920615205,0.06700033142643086,0.06706253734118249,0.2880102391708663,0.7339128940151619,0.10462784947956888,0.1075344811796237,0.0539247753256454
364,0.0025064566827379168,7.678948881085511e-05,1.6277189556343285e-05,0.997400476638895,0.016745887227009502,0.000630882482768872,0.0001373167539471389,0.9824859135362745,0.5464896407551341,0.08443210227598684,0.08450201097349763,0.2845762459953815,0.683990395186994,0.12994943807716253,0.1335461162197576,0.052514050516085826
365,0.0023568521192779955,8.989979932273716e-05,1.8895043392335845e-05,0.997534353038007,0.01575799129048275,0.0007391387623884777,0.00015951905375734764,0.9833433508933714,0.5181677797499977,0.10002641501512691,0.10010043397086628,0.28170537126400913,0.6404250508127636,0.1520237160716628,0.15621761957453695,0.0513336135410367
366,0.0022245225329558917,0.0001014755018783779,2.1171778423559353e-05,0.9976528301867422,0.014882958411431627,0.0008348575912034263,0.00017885700238740504,0.9841033269949776,0.49254835959369536,0.11405238062598609,0.11412790731654499,0.27927135246377366,0.6020773345268096,0.17143776239532868,0.17615355164072888,0.05033135143713294
367,0.0021065573647516514,0.00011177753263881097,2.317173837443855e-05,0.9977584933642352,0.014101950005161356,0.0009201510646888529,0.00019586671770163068,0.9847820322124481,0.4692803232592446,0.1267308724782051,0.126806012946834,0.2771827913157162,0.5680639087130863,0.18864530950488342,0.19382100860814308,0.04946977317388725
368,0.0020006842512161533,0.00012100931084915578,2.4943659125556515e-05,0.9978533627788091,0.013400226035753549,0.0009966693247122,0.00021095502856709452,0.9853921496109672,0.44806614235678344,0.13824426646125879,0.13831764071720082,0.275371950464757,0.5376897552200095,0.20400250284149304,0.20958652397456318,0.04872121796393414
